,entity_class,start_pos,end_pos,content
0,ZH,244,248,饮食停滞
1,ZH,294,298,水不济火
2,SX,253,257,舌苔薄白
3,FY,423,426,大麻仁
4,FY,417,420,怀山药
5,FY,220,223,灵磁石
6,FY,374,377,灵磁石
7,FY,232,235,瓜蒌仁
8,FY,429,432,瓜蒌仁
9,FY,382,385,大熟地
10,FY,214,217,郁李仁
11,FY,185,188,甜葶苈
12,FY,394,397,甜葶苈
13,FY,202,205,大生地
14,FY,400,403,冬瓜仁
15,FY,196,199,莱菔子
16,FY,179,182,白桔梗
17,FY,368,371,白桔梗
18,ZH,11,14,胃气上
19,ZH,88,91,胃气上
20,SX,254,257,苔薄白
21,FY,383,385,熟地
22,FY,191,193,麻仁
23,FY,424,426,麻仁
24,FY,215,217,李仁
25,FY,227,229,萸肉
26,FY,180,182,桔梗
27,FY,369,371,桔梗
28,FY,209,211,蒺藜
29,FY,407,409,蒺藜
30,FY,186,188,葶苈
31,FY,395,397,葶苈
32,FY,232,234,瓜蒌
33,FY,429,431,瓜蒌
34,FY,389,391,知母
35,FY,400,402,冬瓜
36,FY,233,235,蒌仁
37,FY,430,432,蒌仁
38,FY,412,414,大枣
39,FY,221,223,磁石
40,FY,375,377,磁石
41,FY,264,266,水精
42,FY,48,50,羊屎
43,FY,311,313,羊屎
44,FY,203,205,生地
45,FY,418,420,山药
46,FJ,115,117,通便
47,SX,254,256,苔薄
48,ZZ,0,2,呕吐
49,ZZ,3,5,呕吐
50,ZZ,16,18,呕吐
51,ZZ,34,36,呕吐
52,ZZ,93,95,呕吐
53,ZZ,24,26,便秘
54,ZZ,101,103,便秘
55,ZZ,347,349,便结
56,FY,413,414,枣
57,FY,191,192,麻
58,FY,424,425,麻
