word,label,bound,flag,radical,pinyin
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
。,O,S,x,UNK,UNK
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
。,O,S,x,UNK,UNK
大,O,S,a,大,dà
怒,O,S,vg,心,nù
伤,O,S,v,亻,shāng
肝,O,S,n,月,gān
，,O,S,x,UNK,UNK
汗,B-ZZ,S,n,氵,hàn
出,E-ZZ,S,v,凵,chū
外,O,B,n,夕,wài
邪,O,E,n,阝,xié
乘,O,B,v,丿,chéng
虚,S-ZH,E,v,虍,xū
而,O,S,c,而,ér
人,O,S,n,人,rén
，,O,S,x,UNK,UNK
故,O,S,n,攵,gù
为,O,S,p,丶,wéi
肝,B-ZH,B,n,月,gān
胆,I-ZH,E,n,月,dǎn
火,E-ZH,B,n,火,huǒ
热,S-ZH,E,n,灬,rè
炽,O,B,a,火,chì
盛,O,E,a,皿,shèng
，,O,S,x,UNK,UNK
胃,B-ZH,B,n,月,wèi
气,I-ZH,E,n,气,qì
上,E-ZH,S,f,一,shàng
逆,O,S,vg,辶,nì
。,O,S,x,UNK,UNK
于,O,S,p,二,yú
夏,O,B,t,夂,xià
季,O,E,t,子,jì
得,O,S,ud,彳,dé
温,O,B,a,氵,wēn
热,S-ZH,E,a,灬,rè
病,O,S,n,疒,bìng
，,O,S,x,UNK,UNK
兼,O,S,v,丷,jiān
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
不,O,S,d,一,bù
受,O,S,v,又,shòu
饮,O,B,n,饣,yǐn
食,O,E,n,飠,shí
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
病,O,B,n,疒,bìng
因,O,E,n,囗,yīn
:,O,S,x,UNK,UNK
在,O,B,v,土,zài
校,O,E,v,木,xiào
中,O,B,ns,丨,zhōng
宿,O,E,ns,宀,sù
卧,O,S,ns,卜,wò
，,O,S,x,UNK,UNK
一,O,B,m,一,yī
日,O,E,m,日,rì
因,O,B,n,囗,yīn
校,O,E,n,木,xiào
中,O,S,f,丨,zhōng
无,O,B,n,一,wú
人,O,E,n,人,rén
，,O,S,x,UNK,UNK
其,O,S,r,八,qí
衾,O,S,g,衣,qīn
褥,O,B,n,衤,rù
被,O,E,n,衤,bèi
人,O,S,n,人,rén
窃,O,S,vg,穴,qiè
去,O,S,v,厶,qù
，,O,S,x,UNK,UNK
追,O,S,v,辶,zhuī
之,O,S,u,丶,zhī
不,O,B,c,一,bù
及,O,E,c,又,jí
，,O,S,x,UNK,UNK
努,O,B,ad,力,nǔ
力,O,E,ad,力,lì
奔,O,B,v,大,bēn
跑,O,E,v,足,pǎo
，,O,S,x,UNK,UNK
周,O,B,n,口,zhōu
身,O,E,n,身,shēn
出,O,B,v,凵,chū
汗,O,E,v,氵,hàn
，,O,S,x,UNK,UNK
乘,O,B,v,丿,chéng
凉,O,E,v,冫,liáng
歇,O,B,v,欠,xiē
息,O,E,v,心,xī
，,O,S,x,UNK,UNK
遂,O,B,ns,辶,suì
得,O,M,ns,彳,dé
斯,O,E,ns,斤,sī
病,O,S,n,疒,bìng
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
心,O,B,s,心,xīn
中,O,E,s,丨,zhōng
烦,O,B,a,火,fán
闷,O,E,a,门,mèn
，,O,S,x,UNK,UNK
周,O,B,n,口,zhōu
身,O,E,n,身,shēn
时,O,B,n,日,shí
时,O,E,n,日,shí
汗,B-ZZ,S,n,氵,hàn
出,E-ZZ,S,v,凵,chū
，,O,S,x,UNK,UNK
自,O,S,p,自,zì
第,O,B,m,竹,dì
二,O,M,m,二,èr
日,O,E,m,日,rì
，,O,S,x,UNK,UNK
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
不,O,S,d,一,bù
受,O,S,v,又,shòu
饮,O,B,n,饣,yǐn
食,O,E,n,飠,shí
，,O,S,x,UNK,UNK
今,O,S,tg,人,jīn
已,O,S,d,己,yǐ
四,O,B,t,囗,sì
日,O,E,t,日,rì
。,O,S,x,UNK,UNK
屡,O,B,d,尸,lǚ
次,O,E,d,欠,cì
服,O,B,n,月,fú
药,O,E,n,艹,yào
亦,O,S,d,亠,yì
皆,O,S,d,白,jiē
吐,O,B,v,口,tǔ
出,O,E,v,凵,chū
，,O,S,x,UNK,UNK
即,O,S,v,卩,jí
渴,O,S,a,氵,kě
时,O,S,ng,日,shí
饮,O,B,n,饣,yǐn
水,O,E,n,水,shuǐ
亦,O,B,nr,亠,yì
恒,O,E,nr,忄,héng
吐,O,B,v,口,tǔ
出,O,E,v,凵,chū
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
舌,O,B,n,舌,shé
苔,B-SX,E,n,艹,tái
白,E-SX,B,nr,白,bái
厚,O,E,nr,厂,hòu
，,O,S,x,UNK,UNK
大,O,B,d,大,dà
便,O,E,d,亻,biàn
四,O,B,t,囗,sì
日,O,E,t,日,rì
未,O,B,v,木,wèi
行,O,E,v,行,háng
。,O,S,x,UNK,UNK
其,O,S,r,八,qí
脉,O,S,ng,月,mài
左,O,B,m,工,zuǒ
部,O,E,m,阝,bù
弦,O,S,n,弓,xián
硬,O,S,a,石,yìng
，,O,S,x,UNK,UNK
右,O,B,f,口,yòu
部,O,E,f,阝,bù
弦,O,B,n,弓,xián
长,O,E,n,长,cháng
有,O,B,n,月,yǒu
力,O,E,n,力,lì
，,O,S,x,UNK,UNK
一,O,B,n,一,yī
息,O,E,n,心,xī
五,O,S,m,二,wǔ
至,O,S,p,至,zhì
。,O,S,x,UNK,UNK
本,O,B,r,木,běn
案,O,E,r,木,àn
乃,O,S,v,丿,nǎi
大,O,S,a,大,dà
怒,O,S,vg,心,nù
伤,O,S,v,亻,shāng
肝,O,S,n,月,gān
，,O,S,x,UNK,UNK
汗,B-ZZ,S,n,氵,hàn
出,E-ZZ,S,v,凵,chū
外,O,B,n,夕,wài
邪,O,E,n,阝,xié
乘,O,B,v,丿,chéng
虚,S-ZH,E,v,虍,xū
而,O,S,c,而,ér
人,O,S,n,人,rén
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
故,O,S,n,攵,gù
为,O,S,p,丶,wéi
肝,B-ZH,B,n,月,gān
胆,I-ZH,E,n,月,dǎn
火,E-ZH,B,n,火,huǒ
热,S-ZH,E,n,灬,rè
炽,O,B,a,火,chì
盛,O,E,a,皿,shèng
，,O,S,x,UNK,UNK
胃,B-ZH,B,n,月,wèi
气,I-ZH,E,n,气,qì
上,E-ZH,S,f,一,shàng
逆,O,S,vg,辶,nì
。,O,S,x,UNK,UNK
方,O,B,nr,方,fāng
中,O,E,nr,丨,zhōng
用,O,B,n,用,yòng
药,O,E,n,艹,yào
仅,O,S,d,亻,jǐn
三,O,B,m,一,sān
味,O,E,m,口,wèi
，,O,S,x,UNK,UNK
均,O,S,d,土,jūn
为,O,S,p,丶,wéi
矿,O,B,n,石,kuàng
物,O,E,n,牜,wù
类,O,S,q,米,lèi
，,O,S,x,UNK,UNK
质,O,B,n,贝,zhì
重,O,M,n,里,zhòng
性,O,E,n,忄,xìng
沉,O,S,v,氵,chén
有,O,B,v,月,yǒu
利,O,M,v,刂,lì
于,O,E,v,二,yú
-,O,S,x,UNK,UNK
降,O,B,v,阝,jiàng
逆,O,E,v,辶,nì
。,O,S,x,UNK,UNK
其,O,B,r,八,qí
次,O,E,r,欠,cì
本,O,B,r,木,běn
案,O,E,r,木,àn
用,O,B,n,用,yòng
药,O,E,n,艹,yào
冲,O,B,v,冫,chōng
服,O,E,v,月,fú
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
对,O,S,p,寸,duì
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
病,O,B,n,疒,bìng
人,O,E,n,人,rén
优,O,B,v,亻,yōu
于,O,E,v,二,yú
汤,O,B,n,氵,tāng
药,O,E,n,艹,yào
，,O,S,x,UNK,UNK
值,O,B,v,亻,zhí
得,O,E,v,彳,dé
扩,O,B,v,扌,kuò
大,O,E,v,大,dà
借,O,B,v,亻,jiè
鉴,O,E,v,金,jiàn
。,O,S,x,UNK,UNK
清,B-ZF,B,a,氵,qīng
热,E-ZF,E,a,灬,rè
镇,O,S,n,钅,zhèn
逆,O,S,vg,辶,nì
之,O,S,u,丶,zhī
剂,O,S,ng,刂,jì
。,O,S,x,UNK,UNK
生,B-FY,B,n,生,shēng
石,I-FY,M,n,石,shí
膏,E-FY,E,n,月,gāo
二,O,B,m,二,èr
两,O,E,m,一,liǎng
(,O,S,x,UNK,UNK
细,O,B,n,纟,xì
末,O,E,n,木,mò
),O,S,x,UNK,UNK
，,O,S,x,UNK,UNK
生,B-FY,S,vn,生,shēng
赭,I-FY,B,n,赤,zhě
石,E-FY,E,n,石,shí
六,O,B,n,八,liù
钱,O,E,n,钅,qián
(,O,S,x,UNK,UNK
细,O,B,n,纟,xì
末,O,E,n,木,mò
）,O,S,x,UNK,UNK
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
镜,O,B,n,钅,jìng
面,O,E,n,面,miàn
朱,B-FY,B,nr,木,zhū
砂,E-FY,E,nr,石,shā
五,O,S,m,二,wǔ
钱,O,S,n,钅,qián
(,O,S,x,UNK,UNK
细,O,B,n,纟,xì
末,O,E,n,木,mò
）,O,S,x,UNK,UNK
，,O,S,x,UNK,UNK
和,O,S,c,口,hé
灼,O,S,vg,火,zhuó
分,O,B,vn,刀,fēn
作,O,E,vn,亻,zuò
五,O,B,m,二,wǔ
包,O,E,m,勹,bāo
，,O,S,x,UNK,UNK
先,O,S,d,儿,xiān
送,O,B,v,辶,sòng
服,O,E,v,月,fú
一,O,B,m,一,yī
包,O,E,m,勹,bāo
，,O,S,x,UNK,UNK
过,O,S,ug,辶,guò
两,O,S,m,一,liǎng
小,O,B,n,小,xiǎo
时,O,E,n,日,shí
再,O,S,d,冂,zài
送,O,B,v,辶,sòng
服,O,E,v,月,fú
一,O,B,m,一,yī
包,O,E,m,勹,bāo
。,O,S,x,UNK,UNK
F,O,B,eng,UNK,UNK
A,O,M,eng,UNK,UNK
L,O,M,eng,UNK,UNK
S,O,M,eng,UNK,UNK
E,O,E,eng,UNK,UNK
。,O,S,x,UNK,UNK
外,B-ZH,B,n,夕,wài
邪,I-ZH,E,n,阝,xié
犯,E-ZH,S,v,犭,fàn
胃,O,S,n,月,wèi
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
其,O,S,r,八,qí
脉,O,S,ng,月,mài
左,O,B,m,工,zuǒ
部,O,E,m,阝,bù
弦,O,S,n,弓,xián
硬,O,B,n,石,yìng
者,O,E,n,耂,zhě
，,O,S,x,UNK,UNK
肝,O,B,n,月,gān
胆,O,E,n,月,dǎn
之,O,S,u,丶,zhī
火,O,S,n,火,huǒ
炽,O,B,a,火,chì
盛,O,E,a,皿,shèng
也,O,S,d,乙,yě
；,O,S,x,UNK,UNK
右,O,B,f,口,yòu
部,O,E,f,阝,bù
弦,O,S,n,弓,xián
长,O,B,n,长,cháng
者,O,E,n,耂,zhě
，,O,S,x,UNK,UNK
冲,O,B,n,冫,chōng
气,O,E,n,气,qì
挟,O,S,v,扌,xié
胃,B-ZH,B,n,月,wèi
气,I-ZH,E,n,气,qì
上,E-ZH,S,f,一,shàng
冲,O,S,v,冫,chōng
也,O,S,d,乙,yě
",",O,S,x,UNK,UNK
弦,O,B,n,弓,xián
长,O,E,n,长,cháng
而,O,S,c,而,ér
兼,O,S,v,丷,jiān
有,O,B,n,月,yǒu
力,O,E,n,力,lì
者,O,S,k,耂,zhě
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
外,O,B,n,夕,wài
感,O,E,n,心,gǎn
之,O,S,u,丶,zhī
热,S-ZH,S,a,灬,rè
已,O,S,d,己,yǐ
人,O,S,n,人,rén
阳,S-ZH,B,nr,阝,yáng
明,O,E,nr,日,míng
之,O,S,u,丶,zhī
脆,O,S,a,月,cuì
也,O,S,d,乙,yě
。,O,S,x,UNK,UNK
此,O,S,r,止,cǐ
证,O,B,n,讠,zhèng
因,O,E,n,囗,yīn
被,O,B,n,衤,bèi
盗,O,E,n,皿,dào
怒,O,B,n,心,nù
动,O,E,n,力,dòng
肝,O,B,n,月,gān
气,O,E,n,气,qì
，,O,S,x,UNK,UNK
肝,B-ZH,B,n,月,gān
火,I-ZH,E,n,火,huǒ
上,E-ZH,S,f,一,shàng
冲,O,S,v,冫,chōng
，,O,S,x,UNK,UNK
并,O,S,c,干,bìng
激,O,B,a,氵,jī
动,O,E,a,力,dòng
冲,O,B,n,冫,chōng
气,O,E,n,气,qì
挟,O,S,v,扌,xié
胃,O,B,n,月,wèi
气,O,E,n,气,qì
亦,O,S,d,亠,yì
上,O,B,v,一,shàng
冲,O,E,v,冫,chōng
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
而,O,S,c,而,ér
外,O,B,n,夕,wài
感,O,E,n,心,gǎn
之,O,S,u,丶,zhī
热,S-ZH,B,v,灬,rè
复,O,E,v,夂,fù
炽,O,B,a,火,chì
盛,O,E,a,皿,shèng
于,O,S,p,二,yú
胃,O,S,n,月,wèi
中,O,S,f,丨,zhōng
以,O,S,p,人,yǐ
助,O,B,n,力,zhù
阳,S-ZH,E,n,阝,yáng
为,O,B,v,丶,wéi
虐,O,E,v,虍,nüè
，,O,S,x,UNK,UNK
是,O,S,v,日,shì
以,O,S,p,人,yǐ
烦,B-ZZ,B,a,火,fán
热,E-ZZ,E,a,灬,rè
汗,B-ZZ,S,n,氵,hàn
出,E-ZZ,B,v,凵,chū
不,O,M,v,一,bù
受,O,E,v,又,shòu
饮,O,B,n,饣,yǐn
食,O,E,n,飠,shí
而,O,S,c,而,ér
吐,O,S,v,口,tǔ
药,O,B,n,艹,yào
吐,O,M,n,口,tǔ
水,O,E,n,水,shuǐ
也,O,S,d,乙,yě
。,O,S,x,UNK,UNK
天,O,B,ns,大,tiān
津,O,E,ns,氵,jīn
刘,O,B,nr,刂,liú
某,O,E,nr,木,mǒu
，,O,S,x,UNK,UNK
年,O,S,m,干,nián
三,O,B,m,一,sān
十,O,M,m,十,shí
二,O,M,m,二,èr
岁,O,E,m,山,suì
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
方,O,B,n,方,fāng
用,O,E,n,用,yòng
散,O,B,n,攵,sàn
剂,O,E,n,刂,jì
不,O,B,v,一,bù
用,O,E,v,用,yòng
汤,O,B,nz,氵,tāng
剂,O,E,nz,刂,jì
者,O,S,k,耂,zhě
，,O,S,x,UNK,UNK
止,O,S,zg,止,zhǐ
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
之,O,S,u,丶,zhī
药,O,B,n,艹,yào
丸,O,E,n,丿,wán
散,O,S,v,攵,sàn
优,O,B,v,亻,yōu
于,O,E,v,二,yú
汤,O,B,nz,氵,tāng
剂,O,E,nz,刂,jì
也,O,S,d,乙,yě
。,O,S,x,UNK,UNK
效,O,B,n,攵,xiào
果,O,E,n,木,guǒ
:,O,S,x,UNK,UNK
服,O,B,v,月,fú
至,O,E,v,至,zhì
两,O,B,m,一,liǎng
包,O,E,m,勹,bāo
，,O,S,x,UNK,UNK
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
已,O,B,v,己,yǐ
止,O,E,v,止,zhǐ
，,O,S,x,UNK,UNK
心,O,B,s,心,xīn
中,O,E,s,丨,zhōng
犹,O,B,a,犭,yóu
觉,O,E,a,见,jué
烦,B-ZZ,B,a,火,fán
热,E-ZZ,E,a,灬,rè
。,O,S,x,UNK,UNK
服,O,B,v,月,fú
至,O,E,v,至,zhì
四,O,B,m,囗,sì
包,O,E,m,勹,bāo
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
烦,B-ZZ,B,a,火,fán
热,E-ZZ,E,a,灬,rè
全,O,B,d,入,quán
愈,O,E,d,心,yù
，,O,S,x,UNK,UNK
大,O,B,d,大,dà
便,O,E,d,亻,biàn
亦,O,S,d,亠,yì
通,O,B,v,辶,tōng
下,O,E,v,一,xià
矣,O,S,y,矢,yǐ
。,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
锡,O,M,nr,钅,xī
纯,O,E,nr,纟,chún
医,O,B,n,匚,yī
案,O,E,n,木,àn
。,O,S,x,UNK,UNK
《,O,S,x,UNK,UNK
医,O,B,n,匚,yī
学,O,E,n,子,xué
衷,O,B,d,衣,zhōng
中,O,E,d,丨,zhōng
参,O,B,n,厶,cān
西,O,M,n,覀,xī
录,O,E,n,彐,lù
》,O,S,x,UNK,UNK
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
