,entity_class,start_pos,end_pos,content
0,ZH,133,137,痰湿内停
1,ZH,270,274,痰湿内停
2,ZF,314,318,芳香化湿
3,ZZ,44,48,形体肥胖
4,ZZ,28,32,不思饮食
5,ZZ,18,22,呕吐痰涎
6,ZZ,256,260,呕吐痰涎
7,ZZ,295,299,呕吐痰涎
8,ZZ,23,27,胸脘满闷
9,ZZ,33,37,心悸气短
10,FJ,327,330,茯苓汤
11,ZH,133,136,痰湿内
12,ZH,270,273,痰湿内
13,ZH,3,6,痰湿阻
14,FY,366,368,陈皮
15,FY,339,341,生姜
16,FY,324,326,半夏
17,FY,333,335,半夏
18,FY,327,329,茯苓
19,FY,346,348,茯苓
20,FY,353,355,白术
21,FY,360,362,砂仁
22,MX,55,57,脉滑
23,SX,49,51,苔白
24,ZZ,35,37,气短
25,ZZ,18,20,呕吐
26,ZZ,76,78,呕吐
27,ZZ,256,258,呕吐
28,ZZ,295,297,呕吐
29,ZZ,33,35,心悸
30,ZZ,127,129,多痰
31,FY,340,341,姜
32,ZH,138,139,阳
33,ZH,186,187,冷
34,ZH,113,114,虚
35,ZH,121,122,虚
36,ZH,266,267,虚
