id,name,type
443,阿胶鸡子黄汤,方剂
444,安宫牛黄丸,方剂
445,安神定志丸,方剂
446,安胎散,方剂
447,八味地黄汤合透脓散,方剂
448,八珍汤,方剂
449,八正散,方剂
450,拔膏棍,方剂
451,白虎桂枝汤,方剂
452,白虎加桂枝汤,方剂
453,白虎汤,方剂
454,白术散,方剂
455,白术芍药散,方剂
456,白头翁汤,方剂
457,百部汤,方剂
458,半夏白术天麻汤,方剂
459,半夏厚朴汤,方剂
460,保和丸,方剂
461,保元汤,方剂
462,萆薢分清饮,方剂
463,拨云退翳散,方剂
464,补肺散,方剂
465,补肺汤,方剂
466,补气黄芪汤,方剂
467,补气运脾汤,方剂
468,补肾祛寒治尪汤,方剂
469,补阳还五汤,方剂
470,补中益气汤,方剂
471,参附龙牡救逆汤,方剂
472,参附汤,方剂
473,参附汤合右归饮,方剂
474,参苓白术散,方剂
475,参苓内术散,方剂
476,苍耳子散加减,方剂
477,苍附导痰丸,方剂
478,苍附导痰丸合佛手散,方剂
479,柴胡葛根汤,方剂
480,柴胡桂枝干姜汤合截疟七宝饮,方剂
481,柴胡截疟饮,方剂
482,柴胡清肝散,方剂
483,柴胡疏肝散,方剂
484,柴胡陷胸汤,方剂
485,柴朗清肝汤,方剂
486,沉香散,方剂
487,趁痛散,方剂
488,冲和汤,方剂
489,除风清脾饮,方剂
490,除风益损汤,方剂
491,除湿汤,方剂
492,除湿胃苓汤,方剂
493,大柴胡汤,方剂
494,大黄牡丹汤,方剂
495,大青龙汤,方剂
496,代抵当丸,方剂
497,黛芩化痰丸,方剂
498,丹栀逍遥散,方剂
499,当归活血饮,方剂
500,当归散,方剂
501,当归四逆汤,方剂
502,导赤散,方剂
503,导痰散,方剂
504,涤痰汤,方剂
505,地黄饮子,方剂
506,地榆散,方剂
507,癫狂梦醒汤,方剂
508,定喘汤,方剂
509,定痫丹,方剂
510,定痫丸,方剂
511,定志丸,方剂
512,独活寄牛汤,方剂
513,独活寄生汤,方剂
514,耳聋左慈丸,方剂
515,二陈汤,方剂
516,二妙散,方剂
517,二仙汤,方剂
518,二阴煎,方剂
519,防风散结汤,方剂
520,防风汤,方剂
521,防风通圣散,方剂
522,防己黄芪汤,方剂
523,肥儿丸,方剂
524,榧子贯众汤,方剂
525,附子理中丸,方剂
526,附子理中丸合五苓散,方剂
527,附子汤,方剂
528,甘露消毒丹,方剂
529,甘麦大枣汤,方剂
530,膈下逐瘀汤,方剂
531,葛根黄芩黄连汤,方剂
532,葛根汤,方剂
533,骨质增生丸,方剂
534,固经丸,方剂
535,固阴煎,方剂
536,顾步汤,方剂
537,瓜蒌牛蒡汤,方剂
538,归脾汤,方剂
539,归芍红花散,方剂
540,桂枝附子汤,方剂
541,桂枝甘草龙骨牡蛎汤,方剂
542,桂枝四物汤,方剂
543,桂枝治伤汤,方剂
544,还阴救苦汤,方剂
545,海藏地黄散,方剂
546,行瘀定痫汤,方剂
547,何人饮,方剂
548,和气饮,方剂
549,虎潜丸,方剂
550,化坚二陈丸,方剂
551,化岩汤,方剂
552,槐角丸,方剂
553,黄连阿胶饧,方剂
554,黄连解毒汤,方剂
555,黄连解毒汤合五神汤,方剂
556,黄连解毒扬,方剂
557,黄连温胆汤,方剂
558,黄芪桂枝五物汤,方剂
559,黄芪建中汤,方剂
560,黄芪汤,方剂
561,黄芪托毒汤,方剂
562,黄芩滑石汤,方剂
563,活络骨化丸,方剂
564,藿朴夏苓汤,方剂
565,藿香正气散,方剂
566,鸡眼膏,方剂
567,济生肾气丸,方剂
568,加减地黄丸,方剂
569,加减归睥汤,方剂
570,加减逍遥散,方剂
571,加减驻景丸,方剂
572,加味二妙散,方剂
573,加味失笑散,方剂
574,加味五淋散,方剂
575,甲亢消,方剂
576,健脾丸,方剂
577,解肌透痧汤,方剂
578,金锁固精丸,方剂
579,荆防败毒散,方剂
580,九味芦荟丸,方剂
581,九味羌活汤,方剂
582,蠲痹汤,方剂
583,宽中降逆汤,方剂
584,栝蒌薤白半夏汤,方剂
585,阑尾清化汤,方剂
586,蕾香正气散,方剂
587,良附丸,方剂
588,凉血地黄汤,方剂
589,凉营清气汤,方剂
590,苓桂术甘汤,方剂
591,羚角钩藤汤,方剂
592,六成汤,方剂
593,六和汤,方剂
594,六磨汤,方剂
595,六味地黄九,方剂
596,六味地黄丸,方剂
597,龙胆泻肝场,方剂
598,龙胆泻肝汤,方剂
599,绿风羚羊饮,方剂
600,麻黄连翘赤小豆汤,方剂
601,麻杏石甘汤,方剂
602,麻子仁丸,方剂
603,麦门冬汤,方剂
604,麦门冬饮子,方剂
605,蔓荆子散,方剂
606,内疏黄连汤,方剂
607,牛蒡解肌汤,方剂
608,普济消毒饮,方剂
609,七味苍白散,方剂
610,杞菊地黄丸,方剂
611,启膈散,方剂
612,千金托里散,方剂
613,羌活胜风汤,方剂
614,羌活胜湿汤,方剂
615,青蒿鳖甲汤,方剂
616,清肺滋阴散,方剂
617,清肝引经汤,方剂
618,清宫汤,方剂
619,清解片,方剂
620,清脾饮,方剂
621,清气化痰丸,方剂
622,清热散瘀汤,方剂
623,清热渗湿汤,方剂
624,清热泻脾散,方剂
625,清热逐瘀汤,方剂
626,清暑汤,方剂
627,清暑益气汤,方剂
628,清胃散,方剂
629,清瘟败毒饮,方剂
630,清咽利膈汤,方剂
631,清咽下痰汤,方剂
632,清营汤,方剂
633,清燥救肺汤,方剂
634,清瘴汤,方剂
635,清中汤,方剂
636,祛风燥湿汤,方剂
637,祛瘀解毒汤,方剂
638,曲术丸,方剂
639,燃照汤,方剂
640,人参定喘汤,方剂
641,肉刺散,方剂
642,软皮丸,方剂
643,三合保胎丸,方剂
644,三黄枳朴丸,方剂
645,三甲复脉汤合参附汤,方剂
646,三拗汤,方剂
647,三仁汤,方剂
648,散风除湿活血汤,方剂
649,散结灵,方剂
650,散热消毒饮子,方剂
651,桑菊饮,方剂
652,桑杏饮,方剂
653,沙参麦冬汤,方剂
654,沙参麦冬汤合五味消毒饮,方剂
655,芍药汤,方剂
656,少腹逐瘀汤,方剂
657,射干麻黄汤,方剂
658,肾气丸,方剂
659,生脉散,方剂
660,生脉饮,方剂
661,生铁落饮,方剂
662,圣愈汤,方剂
663,十灰散,方剂
664,十全大补汤,方剂
665,十枣汤,方剂
666,石膏散,方剂
667,石决明散,方剂
668,石韦散,方剂
669,实脾散,方剂
670,舒颈汤,方剂
671,疏凿饮子,方剂
672,顺经汤,方剂
