id,name,type
2767,阿魏,中药
2768,安息香,中药
2769,巴戟天,中药
2770,白扁豆,中药
2771,白茯苓,中药
2772,白芥子,中药
2773,白酒,中药
2774,白蔻仁,中药
2775,白茅根,中药
2776,白前,中药
2777,白芍,中药
2778,白术,中药
2779,白芷,中药
2780,白兹仁,中药
2781,板蓝根,中药
2782,半夏,中药
2783,半夏曲,中药
2784,薄荷,中药
2785,薄荷叶,中药
2786,北沙参,中药
2787,贝母,中药
2788,荜乌,中药
2789,萆蘚,中药
2790,萆薢,中药
2791,蓖麻子,中药
2792,滨梅,中药
2793,槟榔,中药
2794,摈榔,中药
2795,冰片,中药
2796,补骨脂,中药
2797,苍耳子,中药
2798,苍木,中药
2799,苍术,中药
2800,草果仁,中药
2801,柴胡,中药
2802,柴胡允,中药
2803,蝉蜕,中药
2804,产硝,中药
2805,菖蒲,中药
2806,常山,中药
2807,炒阿胶,中药
2808,炒白芍,中药
2809,炒陈皮,中药
2810,炒川断,中药
2811,炒穿山甲,中药
2812,炒地榆,中药
2813,炒杜仲,中药
2814,炒甘草,中药
2815,炒黄柏,中药
2816,炒黄芩,中药
2817,炒荆芥,中药
2818,炒桔梗,中药
2819,炒麦芽,中药
2820,炒山药,中药
2821,炒细茶,中药
2822,炒皂角剌,中药
2823,炒栀子,中药
2824,炒枳壳,中药
2825,炒枳实,中药
2826,车前子,中药
2827,沉香,中药
2828,陈皮,中药
2829,赤白芍,中药
2830,赤茯苓,中药
2831,赤茯芩,中药
2832,赤芍,中药
2833,赤芍药,中药
2834,赤石脂,中药
2835,赤小豆,中药
2836,茺蔚子,中药
2837,杵头糠,中药
2838,川贝母,中药
2839,川黄连,中药
2840,川楝子,中药
2841,川乌,中药
2842,川芎,中药
2843,穿山甲,中药
2844,磁石,中药
2845,大腹皮,中药
2846,大黄,中药
2847,大黄各谷精草,中药
2848,大蓟,中药
2849,大枣,中药
2850,丹参,中药
2851,丹皮,中药
2852,胆南星,中药
2853,淡豆豉,中药
2854,淡竹叶,中药
2855,当归,中药
2856,当归尾,中药
2857,灯心草,中药
2858,地骨皮,中药
2859,地龙,中药
2860,冬瓜子,中药
2861,冬桑叶,中药
2862,胨皮,中药
2863,豆鼓,中药
2864,独活,中药
2865,杜仲,中药
2866,煅龙骨,中药
2867,煅牡蛎,中药
2868,莪术,中药
2869,扼子,中药
2870,防风,中药
2871,风化朴硝,中药
2872,蜂蜜,中药
2873,甶术,中药
2874,甶芷,中药
2875,茯苓,中药
2876,茯神,中药
2877,附子,中药
2878,甘荜,中药
2879,甘草,中药
2880,干地黄,中药
2881,干河豚眼,中药
2882,干姜,中药
2883,藁本,中药
2884,葛根,中药
2885,葛根心,中药
2886,梗米,中药
2887,钩藤,中药
2888,狗脊,中药
2889,枸杞,中药
2890,枸杞子,中药
2891,瓜蒌,中药
2892,官桂,中药
2893,贯众,中药
2894,广陈皮,中药
2895,龟甲,中药
2896,桂心,中药
2897,桂枝,中药
2898,海风藤,中药
2899,海浮石,中药
2900,號珀,中药
2901,荷梗,中药
2902,荷叶,中药
2903,黑栀子,中药
2904,红花,中药
2905,红枣,中药
2906,厚朴,中药
2907,胡黄连,中药
2908,胡麻仁,中药
2909,琥珀,中药
2910,滑石,中药
2911,化橘红,中药
2912,淮山药,中药
2913,黄柏,中药
2914,黄岑,中药
