id,name,type
2659,浮紧浮缓,脉象
2660,脉沉滑或缓,脉象
2661,脉沉缓 ,脉象
2662,脉沉缓和滑 ,脉象
2663,脉沉缓或迟 ,脉象
2664,脉沉或细涩 ,脉象
2665,脉沉紧 ,脉象
2666,脉沉弱 ,脉象
2667,脉沉涩或结代 ,脉象
2668,脉沉无力 ,脉象
2669,脉沉细 ,脉象
2670,脉沉细迟 ,脉象
2671,脉沉细尺弱 ,脉象
2672,脉沉细缓 ,脉象
2673,脉沉细弱 ,脉象
2674,脉沉细数 ,脉象
2675,脉沉细无力 ,脉象
2676,脉沉弦数 ,脉象
2677,脉沉弦无力 ,脉象
2678,脉多弦数 ,脉象
2679,脉浮 ,脉象
2680,脉浮滑 ,脉象
2681,脉浮或滑 ,脉象
2682,脉浮紧 ,脉象
2683,脉浮数 ,脉象
2684,脉浮数或滑数 ,脉象
2685,脉洪滑数 ,脉象
2686,脉洪数 ,脉象
2687,脉洪数滑数 ,脉象
2688,脉滑 ,脉象
2689,脉滑沉实 ,脉象
2690,脉滑或滑数 ,脉象
2691,脉滑或脉弱 ,脉象
2692,脉滑或数 ,脉象
2693,脉滑实 ,脉象
2694,脉滑数 ,脉象
2695,脉滑数有力 ,脉象
2696,脉滑有力 ,脉象
2697,脉缓 ,脉象
2698,脉缓而细 ,脉象
2699,脉缓或弦滑 ,脉象
2700,脉结代 ,脉象
2701,脉略数 ,脉象
2702,脉平 ,脉象
2703,脉谦滑数 ,脉象
2704,脉濡 ,脉象
2705,脉濡缓 ,脉象
2706,脉濡或滑 ,脉象
2707,脉濡或缓滑 ,脉象
2708,脉濡数 ,脉象
2709,脉濡细 ,脉象
2710,脉濡细而滑 ,脉象
2711,脉弱 ,脉象
2712,脉弱或细弦 ,脉象
2713,脉弱无力 ,脉象
2714,脉散或微 ,脉象
2715,脉涩 ,脉象
2716,脉数 ,脉象
2717,脉数无力 ,脉象
2718,脉数有力 ,脉象
2719,脉微疾结代 ,脉象
2720,脉微数 ,脉象
2721,脉微数疾 ,脉象
2722,脉微细数 ,脉象
2723,脉微欲绝 ,脉象
2724,脉无力 ,脉象
2725,脉细 ,脉象
2726,脉细尺弱 ,脉象
2727,脉细促 ,脉象
2728,脉细而滑 ,脉象
2729,脉细滑 ,脉象
2730,脉细滑数 ,脉象
2731,脉细滑无力 ,脉象
2732,脉细缓 ,脉象
2733,脉细软 ,脉象
2734,脉细弱 ,脉象
2735,脉细弱或沉 ,脉象
2736,脉细涩 ,脉象
2737,脉细涩或沉弦 ,脉象
2738,脉细数 ,脉象
2739,脉细数无力 ,脉象
2740,脉细无力 ,脉象
2741,脉细弦 ,脉象
2742,脉细弦紧 ,脉象
2743,脉细弦数 ,脉象
2744,脉细小数 ,脉象
2745,脉弦 ,脉象
2746,脉弦大滑数 ,脉象
2747,脉弦带数 ,脉象
2748,脉弦滑 ,脉象
2749,脉弦滑大 ,脉象
2750,脉弦滑数 ,脉象
2751,脉弦滑数疾 ,脉象
2752,脉弦或涩 ,脉象
2753,脉弦或数 ,脉象
2754,脉弦紧 ,脉象
2755,脉弦紧或浮紧 ,脉象
2756,脉弦数 ,脉象
2757,脉弦数沉数 ,脉象
2758,脉弦细 ,脉象
2759,脉弦细或弦滑 ,脉象
2760,脉弦细数 ,脉象
2761,脉弦有力 ,脉象
2762,脉象沉弦 ,脉象
2763,脉虚弱 ,脉象
2764,脉虚涩 ,脉象
2765,脉有力 ,脉象
2766,苔薄脉细 ,脉象
