id,name,type
2556,苔黄而干,舌像
2557,唇舌淡红,舌像
2558,唇舌紫暗,舌像
2559,古质红,舌像
2560,少津,舌像
2561,少苔,舌像
2562,舌暗红,舌像
2563,舌黯,舌像
2564,舌薄白,舌像
2565,舌边尖红,舌像
2566,舌成红,舌像
2567,舌淡,舌像
2568,舌淡暗,舌像
2569,舌淡脖,舌像
2570,舌淡红,舌像
2571,舌淡胖,舌像
2572,舌淡苔白,舌像
2573,舌淡苔少,舌像
2574,舌淡紫,舌像
2575,舌光红,舌像
2576,舌红,舌像
2577,舌红而干,舌像
2578,舌红绛,舌像
2579,舌红绛苔黑垢,舌像
2580,舌红少津,舌像
2581,舌红少苔,舌像
2582,舌红苔黄,舌像
2583,舌红苔少,舌像
2584,舌红无苔,舌像
2585,舌红有刺,舌像
2586,舌尖红,舌像
2587,舌绛起剌,舌像
2588,舌绛少津,舌像
2589,舌绛少苔而干,舌像
2590,舌胖质黯,舌像
2591,舌色紫暗,舌像
2592,舌苔白滑,舌像
2593,舌苔白腻,舌像
2594,舌苔薄白,舌像
2595,舌苔薄白而腻,舌像
2596,舌苔薄白腻,舌像
2597,舌苔薄黄,舌像
2598,舌苔厚腻,舌像
2599,舌苔黄腻,舌像
2600,舌苔腻,舌像
2601,舌苔浊腻,舌像
2602,舌有瘀点,舌像
2603,舌质暗淡,舌像
2604,舌质暗红,舌像
2605,舌质不红,舌像
2606,舌质淡,舌像
2607,舌质淡红,舌像
2608,舌质淡紫,舌像
2609,舌质干红,舌像
2610,舌质红,舌像
2611,舌质红绛,舌像
2612,舌质绛,舌像
2613,舌质嫩红,舌像
2614,舌质偏淡,舌像
2615,舌质偏红,舌像
2616,舌质瘀斑,舌像
2617,舌质紫,舌像
2618,舌质紫暗,舌像
2619,舌质紫喑,舌像
2620,舌紫暗,舌像
2621,苔白,舌像
2622,苔白滑,舌像
2623,苔白腻,舌像
2624,苔薄,舌像
2625,苔薄白,舌像
2626,苔薄白腻,舌像
2627,苔薄黄,舌像
2628,苔薄黄或腻,舌像
2629,苔薄黄腻,舌像
2630,苔薄腻,舌像
2631,苔薄膩,舌像
2632,苔薄少,舌像
2633,苔薄微腻,舌像
2634,苔剥,舌像
2635,苔淡黄,舌像
2636,苔多黄糙,舌像
2637,苔光剥,舌像
2638,苔厚腻,舌像
2639,苔滑,舌像
2640,苔黄,舌像
2641,苔黄糙,舌像
2642,苔黄而燥,舌像
2643,苔黄厚腻,舌像
2644,苔黄腻,舌像
2645,苔黄少津,舌像
2646,苔黄微腻,舌像
2647,苔黄燥,舌像
2648,苔灰,舌像
2649,苔净,舌像
2650,苔腻,舌像
2651,苔腻微黄,舌像
2652,苔少,舌像
2653,苔少而干,舌像
2654,苔微黄,舌像
2655,苔燥无津,舌像
2656,微黄,舌像
2657,无苔,舌像
2658,舌苔黄燥,舌像
