id,name,type
1,肠道气滞证,证候
2,肠道湿热证,证候
3,肠道实热证,证候
4,肠风伤络证,证候
5,冲任失调证,证候
6,虫毒结聚证,证候
7,虫和化疳证,证候
8,虫积肠道证,证候
9,虫扰魄门证,证候
10,胆经郁热证,证候
11,毒结少阳证,证候
12,毒入营血证,证候
13,毒盛酿脓证,证候
14,毒陷心肝证,证候
15,肺经风热证,证候
16,肺经热盛证,证候
17,肺经郁火证,证候
18,肺络不畅证,证候
19,肺脾两虚证,证候
20,肺脾气虚证,证候
21,肺气亏虚证,证候
22,肺热津伤证,证候
23,肺热血瘀证,证候
24,肺热壅盛证,证候
25,肺肾两虚证,证候
26,肺肾阴虚证,证候
27,肺卫不固证,证候
28,肺卫气虚证,证候
29,肺胃热盛证,证候
30,肺胃实热证,证候
31,肺虚感寒证,证候
32,肺虚邪滞证,证候
33,肺阴不足证,证候
34,肺阴亏虚证,证候
35,肺燥郁热证,证候
36,风寒闭肺证,证候
37,风寒痹痛证,证候
38,风寒痹阻证,证候
39,风寒湿证,证候
40,风寒湿阻证,证候
41,风寒束表证,证候
42,风寒束肺证,证候
43,风寒外袭证,证候
44,风寒袭肺证,证候
45,风寒泻,证候
46,风寒证,证候
47,风寒阻络证,证候
48,风火蔽窍证,证候
49,风火攻目证,证候
50,风火热毒证,证候
51,风热闭肺证,证候
52,风热毒蕴证,证候
53,风热犯表证,证候
54,风热犯肺证,证候
55,风热夹湿证,证候
56,风热俱盛证,证候
57,风热伤络证,证候
58,风热上扰证,证候
59,风热痰毒证,证候
60,风热痰凝证,证候
61,风热外犯证,证候
62,风热外侵证,证候
63,风热外袭证,证候
64,风热邪毒证,证候
65,风热血燥证,证候
66,风热壅盛证,证候
67,风热蕴肤证,证候
68,风热阻络证,证候
69,风伤肠络证,证候
70,风湿毒聚证,证候
71,风湿凌目证,证候
72,风湿热都证,证候
73,风湿蕴肤证,证候
74,风水相搏证,证候
75,风痰闭窍证,证候
76,风痰入络证,证候
77,风痰上攻证,证候
78,风痰阻络证,证候
79,风邪窜络证,证候
80,风邪犯耳证,证候
81,风邪外犯证,证候
82,风邪外袭证,证候
83,风邪袭络证,证候
84,风阳上扰证,证候
85,风重于热证,证候
86,肝胆火炽证,证候
87,肝胆火热证,证候
88,肝胆湿热证,证候
89,肝风内动证,证候
90,肝火犯肺证,证候
91,肝火犯胃证,证候
92,肝火亢盛证,证候
93,肝火上炎证,证候
94,肝火旺盛证,证候
95,肝经风热证,证候
96,肝经火盛证,证候
97,肝经湿热证,证候
98,肝经郁热证,证候
99,肝脾血瘀证,证候
100,肝气犯胃证,证候
101,肝气郁结证,证候
102,肝气郁滞证,证候
103,肝肾不足证,证候
104,肝肾亏损证,证候
105,肝肾亏虚证,证候
106,肝肾阴虚证,证候
107,肝旺脾虚证,证候
108,肝胃不和证,证候
109,肝胃气滞证,证候
110,肝胃阴虚证,证候
111,肝血不足证,证候
112,肝血亏虚证,证候
113,肝阳暴亢证,证候
114,肝阳化风证,证候
115,肝阳上亢证,证候
116,肝郁不舒证,证候
117,肝郁化火证,证候
118,肝郁火旺证,证候
119,肝郁脾虚证,证候
120,肝郁气滞证,证候
121,肝郁肾虚证,证候
122,肝郁痰凝证,证候
123,疳积证,证候
124,疳气证,证候
125,感伤健眼证,证候
126,干疳证,证候
127,寒凝心脉证,证候
128,寒凝血瘀证,证候
129,寒凝阳衰证,证候
130,寒湿困脾证,证候
131,寒湿凝滞证,证候
132,寒湿入络证,证候
133,寒湿泻,证候
134,寒湿阻络证,证候
135,寒湿阻滞证,证候
136,寒邪犯胃证,证候
137,寒饮停肺证,证候
138,行痹证,证候
139,火毒炽盛证,证候
140,火毒凝结证,证候
141,火毒入络证,证候
142,火毒入营证,证候
143,火毒蕴结证,证候
144,火盛伤阴证,证候
145,积淤化热证,证候
146,津亏热结证,证候
147,惊恐伤神证,证候
148,冷哮证,证候
149,络伤出血证,证候
150,命门火衰证,证候
151,内闭外脱证,证候
152,脓毒侵袭证,证候
153,脓毒蚀骨证,证候
154,膀胱湿热证,证候
155,脾不统血证,证候
156,脾肺气虚证,证候
157,脾气亏虚证,证候
158,脾气虚弱证,证候
159,脾肾不足证,证候
160,脾肾亏虚证,证候
161,脾肾两虚证,证候
162,脾肾阳虚泻,证候
163,脾肾阳虚证,证候
164,脾胃不和证,证候
165,脾胃积热证,证候
166,脾胃气虚证,证候
167,脾胃湿热证,证候
168,脾胃虚寒证,证候
169,脾胃虚弱证,证候
170,脾胃阴虚证,证候
171,脾虚不固证,证候
172,脾虚肝热证,证候
173,脾虚肝旺证,证候
174,脾虚夹积证,证候
175,脾虚夹痰证,证候
176,脾虚气弱证,证候
177,脾虚气陷证,证候
178,脾虚湿泛证,证候
179,脾虚湿困证,证候
180,脾虚湿热证,证候
181,脾虚湿盛证,证候
182,脾虚湿蕴证,证候
183,脾虚湿藴证,证候
184,脾虚湿滞证,证候
185,脾虚水泛证,证候
186,脾虚痰湿证,证候
187,脾虚泻,证候
188,脾虚血亏证,证候
189,脾阳亏虚证,证候
190,气不摄血证,证候
191,气分湿热证,证候
192,气火郁结证,证候
193,气虚毒滞证,证候
194,气虚痰结证,证候
195,气虚血虚证,证候
196,气虚血瘀证,证候
197,气虚阳微证,证候
198,气血不足证,证候
199,气血亏虚证,证候
200,气血两虚证,证候
201,气血凝结证,证候
202,气血虚弱证,证候
203,气血虚证,证候
204,气血瘀滞证,证候
205,气阴不足证,证候
206,气阴两伤证,证候
207,气阴两虚证,证候
208,气阴两虛证,证候
209,气营两燔证,证候
210,气郁化火证,证候
211,气滞热壅证,证候
212,气滞湿阻证,证候
213,气滞痰凝证,证候
214,气滞血瘀证,证候
215,热闭心包证,证候
216,热痹证,证候
217,热毒炽盛证,证候
218,热毒攻喉证,证候
219,热毒火盛证,证候
220,热毒内陷证,证候
221,热毒凝结证,证候
222,热毒入络证,证候
223,热毒入营证,证候
224,热毒伤阴证,证候
225,热毒壅滞证,证候
226,热毒蕴肤证,证候
227,热毒蕴结证,证候
228,热结肠燥证,证候
229,热入营血证,证候
230,热胜酿脓证,证候
231,热哮证,证候
232,热蕴络瘀证,证候
233,热重于风证,证候
234,乳食内积证,证候
235,伤食泻,证候
236,上盛下虚证,证候
237,肾精亏损,证候
238,肾气不足证,证候
239,肾气亏虚证,证候
240,肾虚不固证,证候
241,肾虚肝亢证,证候
242,肾虚寒凝证,证候
243,肾虚髓亏证,证候
244,肾阳亏虚证,证候
245,肾阴亏损证,证候
246,肾阴亏虚证,证候
247,湿毒蕴肤证,证候
248,湿毒蕴结证,证候
249,湿火炽盛证,证候
250,湿困脾胃证,证候
251,湿热毒结证,证候
252,湿热毒聚证,证候
253,湿热毒盛证,证候
254,湿热毒蕴证,证候
255,湿热毒蘊证,证候
256,湿热浸淫证,证候
257,湿热内蕴证,证候
258,湿热内蘊证,证候
259,湿热下注证,证候
260,湿热泻,证候
261,湿热血瘀证,证候
262,湿热壅盛证,证候
263,湿热壅滞证,证候
264,湿热瘀阻证,证候
265,湿热蕴伏证,证候
266,湿热蕴结证,证候
267,湿热蕴蒸证,证候
268,湿热藴结证,证候
269,湿热蘊结证,证候
270,湿热蘊脾证,证候
271,湿郁卫气证,证候
272,湿浊上泛证,证候
273,食滞胃肠证,证候
274,暑风证,证候
275,暑厥证,证候
276,暑热浸淫证,证候
277,暑热内郁证,证候
278,暑伤肺胃证,证候
279,暑湿交阻证,证候
280,暑湿内蕴证,证候
281,暑湿热蕴证,证候
282,暑湿袭表证,证候
283,水气凌心证,证候
284,水湿浸渍证,证候
285,胎火蕴毒证,证候
286,痰虫上扰证,证候
287,痰火闭窍证,证候
288,痰火内扰证,证候
289,痰火扰神证,证候
290,痰火郁结证,证候
291,痰结毒滞证,证候
292,痰气互结证,证候
293,痰气郁结证,证候
294,痰气阻膈证,证候
295,痰热闭肺证,证候
296,痰热搏结证,证候
297,痰热腑实证,证候
298,痰热内扰证,证候
299,痰热壅肺证,证候
300,痰热蕴结证,证候
301,痰湿结聚证,证候
302,痰湿结滞证,证候
303,痰湿蒙窍证,证候
304,痰湿内阻证,证候
305,痰湿凝结证,证候
306,痰湿蕴肺证,证候
307,痰湿阻络证,证候
308,痰湿阻滞证,证候
309,痰饮停胃证,证候
310,痰淤互结证,证候
311,痰瘀搏结证,证候
312,痰瘀互结证,证候
313,痰浊积聚证,证候
314,痰浊内蒙证,证候
315,痰浊内阻证,证候
316,痰浊凝结证,证候
317,痰浊上蒙证,证候
318,痰浊中阻证,证候
319,痰浊阻滞证,证候
320,体虚毒恋证,证候
321,痛痹证,证候
