1456,口甜,口甘,脾胃实热,临床表现口中有甜味，干渴欲饮水；多食易饥.或唇舌生疮，大便干，小便黄，舌红苔黄，脉数有力。,辨证提要以口甜兼口干喜饮，便干尿黄，舌红苔黄；脉数有力为辨证要点,理法概要过食辛辣肥甘，滋生内热;或感受六淫邪热，蕴结脾胃，与谷气相搏，气蒸于口为其基本病机。,治宜清热泻火。,泻黄散加味,藿香:10克;栀子:10克;生石膏:20克;黄连:10克;防风:20克;甘草:10克;,TRUE
1457,口甜,口甘,气阴两虚,临床表现口中甜味，食欲不振，口干欲饮不多，神疲乏力.脘腹作胀，大便不调，舌干稍红、苔少，脉细弱。,辨证提要以口甜伴纳少神疲，舌红、少苔，脉细数为辨证要点。,理法概要年老或久病，伤及脾胃，气阴两虚，虚热内生，脾津受灼为其基本病机,治宜健脾和胃养阴。,益胃汤;四君子汤,沙参:10克;麦冬:10克;生地:10克;玉竹:10克;冰糖:10克;党参:10克;白术:10克;茯苓:10克;炙甘草:10克;,TRUE
1458,口臭,口中臭秽,脾胃积热,临床表现口气臭秽，口渴喜饮冷，口唇红赤，或有口糜口疮，牙痛龈肿，便秘溲黄，舌红苔黄.脉数有力.,辨证提要以口臭伴口渴饮冷，口舌生疮，便秘溲黄，苔黄为辨证要点。,理法概要外感内伤，化热化火，蕴积脾胃，气蒸于口为基本病机,治宜清泻脾胃积热。,清胃散加大黄、生石膏,黄连:10克;当归:10克;丹皮:10克;升麻:6克;生地:10克;大黄:6克;生石膏:30克;,TRUE
1459,口臭,口中臭秽,食滞肠胃,临床表现口气酸臭，脘腹满胀，嗳气频作，不思饮食.大便不调，矢气臭秽.舌苔厚腻，脉弦滑。,辨证提要以口气酸臭而有伤食病史，伴见嗳腐食臭，脘腹胀满，舌苔腐腻为辨证要点。,理法概要饮食失节，积滞不化，宿食壅塞肠胃，化腐化臭为其基本病机,治宜消积导滞通腑.,保和丸,山楂:15克;神曲:10克;茯苓:15克;半夏:10克;陈皮:10克;连翘:10克;炒莱菔子:10克;,TRUE
1460,口酸,口中酸味,脾虚木乘,临床表现口中觉酸，或伴呑酸呕苦，或嗳气太息，食少纳呆.食后腹胀，胃脘痞满，体倦乏力，大便溏薄，舌苔白；脉弦细。,辨证提要本证脾虚在先.肝木乘之于后.病本在脾；属虚实夹杂之证，以口酸伴食少腹胀，乏力便溏，嗳气太息，脉弦为辨证要点.,理法概要脾胃虚弱，土虚木乘为基本病机。,治宜扶土抑木，健脾和胃、兼以平肝.,六君子汤;左金丸,党参:10克;白术:10克;茯苓:15克;炙甘草:10克;半夏:10克;陈皮:10克;吴茱萸:3克;黄连:9克;,TRUE
1461,口苦,,肝火犯胃,临床表现口苦口干，心烦易怒.胃脘嘈杂.或胀痛走窜；嗳气太息.舌红苔黄，脉数,辨证提要以口苦口干.心烦易怒.脘痛嘈杂为辨证要点,理法概要肝气郁久化火犯胃为其基本病机.,治宜疏肝泄热和胃,丹栀逍遥散加减,丹皮:10克;栀子:10克;柴胡:10克;白芍:12克;当归:10克;薄荷:8克;生地:8克;茯苓:15克;甘草:5克;,TRUE
1462,口苦,,肝胆郁热,临床表现口苦咽干，心烦急躁，口干欲饮.头痛目赤.胁痛太息，便干溲黄，舌边尖红，苔薄黄，脉弦数.,辨证提要以口苦伴头痛目赤；心烦急躁.溲黄，舌红，脉弦数为辨证要点。,理法概要情志郁结或五志过极，化热化火，蕴郁肝胆.疏泄失职，胆气上溢为基本病机。,治宜清解肝胆郁热。,龙胆泻肝汤,龙胆草:6克;黄芩:10克;栀子:10克;泽泻:12克;木通:9克;车前子:10克;当归:5克;生地:10克;柴胡:6克;生甘草:6克;,TRUE
1463,口腻,口舌粘腻,脾胃湿热,临床表现口腻不爽，口气秽浊，口渴不欲饮，胸膈满闷或脘腹胀满，胃纳减退，大便垢滞，小便黄赤.舌红苔腻.脉濡数,辨证拢要以口腻伴口气秽浊，口渴不欲饮.大便粘滞；小便黄赤，舌红苔黄腻为辨证要点。,理法概要湿热中阻，脾胃气滞，湿热上蒸于口为甚本病机。,治以清热化湿；芳香醒脾,连朴饮加味,厚朴:10克;黄连:6克;石菖蒲:10克;半夏:10克;豆豉:10克;芦根:20克;藿香:10克;茯苓:15克;,TRUE
1464,口腻,口舌粘腻,寒湿困脾,临床表现口腻不渴，不思饮食，胃脘痞闷，倦怠乏力.大便溏薄，小便不利，舌体淡胖，苔腻水滑，脉濡缓。,辨证提要本证患者多素体脾胃虚寒，而以口腻不渴，不思饮食，大便溏，舌淡苔白，脉濡缓为辨证要点。,理法概要素体脾胃虚寒，湿从内生，脾阳被困，运化失司为基本病机。,治宜健脾化湿。,平胃散加味,苍术:15克;厚朴:10克;陈皮:10克;茯苓:15克;桂枝:6克;白术:10克;半夏:10克;炙甘草:5克;,TRUE
1465,口腻,口舌粘腻,痰热内结,临床表现口中粘腻，口渴不欲饮，胸膈满闷，心烦不宁，或咳痰黄稠粘滞，食少纳呆，小便短赤，舌红苔黄腻，脉滑数。,辨证提要本证以口中粘腻伴口渴不欲饮，咳吐黄痰不易咯出，胸膈满闷，心烦不宁，舌红苔黄腻，脉滑数为辨证要点.,理法概要脾虚不运，聚湿生痰.蕴郁化热，或气郁化火，炼津为痰，痰热阻滞为基本病机。,治宜清热化痰。,清气化痰丸,瓜蒌:10克;陈皮:10克;黄芩:10克;杏仁:10克;枳实:10克;茯苓:15克;胆南星:12克;制半夏:10克;,TRUE
