秃疮,白秃疮
恶露不绝,恶露不净,产后恶露不绝,产后恶露不净
恶露不下,产后恶露不下
胁痈,穿胁痈
转筋,腓踹转筋
粉刺,肺风粉刺
囊痈,肾囊痈
目痒,时复目痒
霍乱,时疫霍乱
客忤,小儿客忤
通睛,斗睛,小儿通睛,小儿斗睛
白疕,白壳疮
百日咳,顿咳
胞虚如球,睥虚如球
胞轮振跳,眼胞振跳
胞生痰核,胞睑痰核
胞衣先破,胞膜先破,胞衣先早,胞膜先早
胞阻,妊娠腹痛
鼻疳,鼻疮
鼻息肉,鼻痔
便秘,便闭
鬓疽,太阳疽
糙皮病,癞皮病
颤病,脑风
齿槽风,牙槽风,穿腮毒
赤虫病,扁虫病
赤膜下垂,垂帘障,垂帘翳
春温,春瘟
唇风,驴嘴风
皴裂疮,手足皲裂
寸白虫病,绦虫病
大脚风,象皮腿
恶阻,妊娠呕吐
耳蕈,耳菌
翻花痔,嵌顿痔
肥疮,癞头疮
腓踹发,鱼肚痈
腓踹疽,驴眼疮
肺虫病,肺吸虫病
痱癗,痱子
风痱,喑痱
风土疮,土风疮
附骨疽,多骨疽,咬骨疽,朽骨疽
肝癖,肝痞
肝瘟,瘟黄,疫黄
肝著,肝着,肝胀
疳积上目,疳眼
肛肠痒,肛痒风
肛瘘,肛漏
肛门湿疡,肛门顽湿
高风内障,高风雀目
汗斑,紫白癜风
合谷疔,虎口疔
鹤膝痰,鹤膝风
红蝴蝶疮,蝶斑疮
喉癣,喉痨
黄胖病,黄肿病,钩虫病
黄水疮,滴脓疮
火疳,乌轮赤晕
饥厥,食厥
肌痹,肉痹
肌痿,肉痿
鸡眼,肉刺
急喉风,锁喉风
睑弦赤烂,风弦赤烂
脚湿气,臭田螺
疖病,多发性疖
结舌,连舌,绊舌
金疳,赤带抱轮
井疽,溃心冷漏,穿心冷漏
颈痈,夹喉痈
厥头痛,真头痛
厥心痛,真心痛
颏痈,承浆痈
口疮,口疳
口僻,面瘫
