1,"﻿皮肤病类","秃疮","因剃发感染；风热凝滞所致。以头部脱片状白屑；久则发失光泽、折断；自觉瘙痒为主要表现的皮肤病。","疾病部分"
2,"胎、产及其疾病","恶露不绝","多因血热、血瘀、气虚；气血运行失常；或感染邪毒所致。以恶露持续3周以上仍淋漓不净为主要表现的产后疾病。","疾病部分"
3,"胎、产及其疾病","恶露不下","多因血瘀所致。以胎盘娩出后；胞宫内的余血浊液停留不下；或下亦甚少；并伴小腹疼痛等症为主要表现的产后疾病。","疾病部分"
4,"疮疡病类","胁痈","多由肝胆火郁所致。生于季肋处的痈病类疾病。","疾病部分"
5,"躯体痹、痿、瘤等病类","转筋","因下肢受寒着凉；经气不利；使肢体（常见于小腿）肌肉挛急。以小腿或指、趾发作性筋肉剧痛、僵硬；屈伸不利为主要表现的痛病类疾病。","疾病部分"
6,"皮肤病类","粉刺","因肺风、胃热或肝瘀所致。以面及背部见黑头或白头粉刺、丘疹、脓疱、结节、囊肿及疤痕为主要表现的皮肤疾病。","疾病部分"
7,"男性前阴病类","囊痈","因肝肾湿热下注；或外湿内侵蕴酿成毒所致。以阴囊红肿热痛；肾子（睾丸）不肿大为主要表现的痈病类疾病。","疾病部分"
8,"眼病类","目痒","因时邪与湿热交阻所致。以发病时白睛红赤；奇痒难忍；每年至期而发；过期乃愈；呈周期性反复发作为主要表现的外障类疾病。","疾病部分"
9,"传染病、寄生虫病类","霍乱","因饮食不洁、感受疫疠之邪；损伤胃肠；升降失司；清浊相干。以骤起剧烈吐泻米泔水样物；目眶凹陷；小腿转筋；津气严重耗损；甚至因厥脱而毙为特点的烈性疫病类疾病。","疾病部分"
10,"新生儿病、小儿特发病","客忤","小儿由于神气未定；因骤见生人、突遇异物等所致。以突然惊叫啼哭；甚或面色变异、吐泻腹痛等为主要表现的小儿疾病。","疾病部分"
11,"眼病类","通睛","因禀赋不足、筋脉失调；或高热伤津所致。以双眼向内偏斜为主要表现的外障类疾病。","疾病部分"
12,"胎、产及其疾病","暗产","多因肾虚、肝郁、房室不节等所致。指受孕而早早自然流产；常不知受孕而误认为是一次月经的疾病。","疾病部分"
13,"皮肤病类","白疕","因禀赋素弱；或血虚风燥；湿滞血瘀所致。以皮肤起多形红斑、银屑；刮去鳞屑可见点状出血为主要表现的皮肤疾病。","疾病部分"
14,"皮肤病类","白驳风","因气血不和；外受风邪所致。以皮肤见大小形状不一的白斑；周边可有色素沉着变黑；并不痒痛为主要表现的皮肤疾病。","疾病部分"
15,"传染病、寄生虫病类","白喉","燥热疫毒之邪搏结于咽喉；耗伤阴液。以发热；咽痛；咽、喉、鼻等处出现白色假膜不易剥脱为主要表现的疫病类疾病。","疾病部分"
16,"眼病类","白睛青蓝","因火邪郁结气轮所致；常出现于火疳的后期。以傍黑睛缘发生紫红色肿胀隆起；反复发作；日久白睛深层遂变青蓝为主要表现的外障类疾病。","疾病部分"
17,"眼病类","白睛溢血","因热邪郁肺；血热妄行；或小儿顿咳、女子逆经及外伤所致。以白睛浅层下见血色鲜红；状如胭脂为主要表现的外障类疾病。","疾病部分"
18,"眼病类","白膜侵睛","因肺火上炎；或阴虚火旺所致。以白色翳膜自白睛侵入黑睛为主要表现的翳病类疾病。","疾病部分"
19,"眼病类","白涩症","因阴虚津亏；目失濡养所致。以自觉两眼干涩不爽；但无红肿为主要表现的外障类疾病。","疾病部分"
20,"皮肤病类","白屑风","因风热血燥；肌肤失养；湿热蕴肤所致。以头部、颜面等处皮肤出现糠状白屑；瘙痒为主要表现的皮肤疾病。","疾病部分"
21,"脑系病类","百合病","多继发于急性热病；或中毒、脑部疾患等之后；余邪未尽；阴液亏损；气血失调；经脉失调；经脉失养；心神惑乱。以神情恍惚；行、卧、饮食等皆觉不适为主要表现的脑神疾病。","疾病部分"
22,"传染病、寄生虫病类","百日咳","时行疫邪犯肺；阻于气道而肺气上逆。以阵发呛咳；咳后有鸡鸣样回声为主要表现的疫病类疾病。","疾病部分"
23,"眼病类","斑脂翳","呈斑状；色黄白如脂；瞳仁欹侧不圆的宿翳。","疾病部分"
24,"肾系病类","膀胱癌","可能因结石长期刺激；或长期接触有毒物质等所致。以无痛性尿血为早期临床表现；发生于膀胱的癌病类疾病。","疾病部分"
25,"传染病、寄生虫病类","包虫病","因包虫卵在人体内发育为幼虫；主要寄着于肝、肺等处；与痰瘀水湿相搏结而形成包块。以局部囊肿；检查有包虫征候为主要表现的寄生虫病。","疾病部分"
26,"男性前阴病类","包茎","多因先天所致。以包皮口细小；包皮不能上翻；龟头不能外露为主要表现的男性前阴疾病。","疾病部分"
27,"眼病类","胞虚如球","因脾肾阳虚；水湿上泛所致。以眼胞肿胀；皮色正常；虚软如球为主要表现的外障类疾病。","疾病部分"
28,"眼病类","胞轮振跳","困风邪侵袭；气血不和等所致。以眼睑经常不自主牵拽跳动为主要表现的外障类疾病。","疾病部分"
29,"眼病类","胞生痰核","因痰湿凝集胞睑所致。以胞睑皮下产生核状硬结；不红不痛不痒；推之不能移为主要表现的外障类疾病。","疾病部分"
30,"胎、产及其疾病","胞衣先破","多因气虚下陷；或外伤致胎膜破损。以临产前胎衣已破裂；胎水外流；影响分娩进程或致胎儿死亡的产科疾病。","疾病部分"
31,"胎、产及其疾病","胞衣不下","胎儿娩出后超过0.5小时；胞衣仍不能娩出为主要表现的产科疾病。","疾病部分"
32,"眼病类","胞肿如桃","因实热壅盛；脉络阻滞所致。以胞睑高度红肿、疼痛；其状如桃为主要表现的外障类疾病。","疾病部分"
33,"胎、产及其疾病","胞阻","多因胞脉、胞络气血运行不畅所致。指妊娠期间小腹隐隐疼痛；时作时止；尚未引及胎元的妊娠疾病。","疾病部分"
34,"疮疡病类","抱头火丹","发于头面部的丹毒。","疾病部分"
35,"眼病类","暴风客热","因风热之邪侵目所致。以白睛卒然红赤；生眵流泪为主要表现的外障类疾病。","疾病部分"
36,"肺系病类","暴咳","肺咳之属于新起；病程短暂者。","疾病部分"
37,"传染病、寄生虫病类","暴痢","因饮食不洁；湿热疫毒之邪经口而入；壅滞肠间；阻遏气机；损伤肠络。以骤起发热；腹痛腹泻；里急后重；大便下脓血为特点的痢疾。","疾病部分"
38,"耳鼻咽喉口齿病类","暴聋","因脏腑失调；气血瘀滞；或邪毒壅盛；上犯耳窍所致。以单耳或双耳听力骤然减退；或伴眩晕、耳鸣等为主要表现的耳病。","疾病部分"
39,"眼病类","暴盲","因目系脉络阻塞；气机郁闭；或阳亢血热；络损出血；或视衣脱离；神光离散等所致。以外眼端好；视力急骤下降而失明为主要表现的内障类疾病。","疾病部分"
40,"脾系病类","暴泻","因邪袭肠道；传化失调；水谷清浊不分。以急起腹痛、腹泻为主要表现的泄泻类疾病。","疾病部分"
41,"耳鼻咽喉口齿病类","暴喑","因邪客于喉所致。以突然声哑；声带充血水肿为主要表现的咽喉疾病。","疾病部分"
42,"脑系病类","卑惵","因心气亏损；胆虚神怯；或气郁胆气不宁所致。以抑郁；胆怯；自卑（卑）；恐惧（惵）为主要表现的郁病类疾病。","疾病部分"
43,"疮疡病类","背疽","泛指生于背部的有头疽。因所生部位及形态的不同；而有不同的名称；如上、中、下搭手；上、中、下发背；对串肩搭疽、莲子发、肩疽、发背、莲蓬发、体疽发、腰疽、脾肚发、对心发、对脐发疽等。","疾病部分"
44,"症状性名称","崩漏","妇女非正常行经而阴道下血如崩或淋漓不尽的症状。势急而出血量多者为崩；势缓而出血量少、淋漓不断者为漏。多由血热、湿热、气虚、血瘀、外伤等所致。妇女月经病变；崩漏病；以及石瘕、胎漏、异位妊娠、新产血崩、产后恶露不绝；疫斑热、紫癜病、血溢病等病中皆可出现崩漏。","疾病部分"
