,entity_class,start_pos,end_pos,content
0,ZZ,6,10,肝气犯胃
1,ZZ,11,15,热郁伤阴
2,ZZ,62,66,饥不欲食
3,ZZ,67,71,口干唇燥
4,ZZ,72,76,大便色黑
5,ZZ,81,84,小便黄
6,ZZ,90,93,胃脘痛
7,ZZ,96,102,胃脘胀满攻痛
8,ZZ,119,123,食后胀甚
9,SX,142,147,舌苔白厚腻
10,SX,153,155,舌赤
11,MX,156,160,脉沉弦数
12,ZZ,169,173,横逆犯胃
13,ZZ,236,240,气滞作痛
14,ZF,257,259,辛通
15,ZZ,263,267,气郁化火
16,ZZ,270,274,伤阴劫液
17,ZF,277,279,柔润
18,ZF,314,318,行气止痛
19,SX,343,347,肝胃不和
20,ZZ,348,350,气郁
21,ZZ,350,354,食滞作痛
22,ZZ,455,458,饥不欲
23,ZZ,460,464,口干唇燥
24,SX,465,469,舌苔薄黄
25,SX,470,472,质赤
26,MX,473,477,脉细稍数
27,ZZ,478,481,胃阴虚
28,ZF,697,699,疏郁
29,ZF,699,701,止痛
30,ZF,702,706,养阴清热
31,ZH,793,798,肝郁气滞证
